id_cliente,nombre,rut,email,telefono,comuna,fecha_registro,edad,rango_etario
131,Martín Araya,17634264-1,martin.araya5@hotmail.com,+56950305502,Las Condes,2025-08-15,60.0,51+
265,Catalina Castillo,16506671-5,catalina.castillo92@outlook.cl,+56925467899,Ñuñoa,2024-09-28,18.0,18-30
111,Tomás Rojas,13148613-8,tomas.rojas84@gmail.com,+56947463204,Maipú,2024-06-08,36.0,31-50
237,Antonella Rojas,12755255-K,antonella.rojas79@yahoo.com,+56951664608,Ñuñoa,2025-08-30,43.0,31-50
162,Josefa Reyes,9138273-3,josefa.reyes9@yahoo.com,+56987059121,Puente Alto,2025-10-03,46.0,31-50
27,Diego Tapia,25564992-2,diego.tapia28@gmail.com,+56993320274,Estación Central,2025-03-15,53.0,51+
186,Antonella Soto,10158201-9,antonella.soto59@hotmail.com,+56939610064,Estación Central,2025-01-17,77.0,51+
2,Trinidad Flores,24225377-9,trinidad.flores15@yahoo.com,+56977962320,Peñalolén,2025-10-16,43.0,31-50
107,Martín Hernández,21102979-K,martin.hernandez15@gmail.com,+56965823356,Puente Alto,2024-06-06,33.0,31-50
228,Vicente López,10058266-K,vicente.lopez6@hotmail.com,+56994216826,Santiago,2024-10-27,29.0,18-30
