id_cliente,nombre,rut,email,telefono,comuna,fecha_registro,edad
133,Benjamín Valenzuela,24741562-9,benjamin.valenzuela44@outlook.cl,+56965569402,Maipú,2025-11-06,36
198,Benjamín Contreras,8714377-5,benjamin.contreras40@yahoo.com,+56970247790,Estación Central,2024-09-07,75
115,Diego Rojas,22301967-6,diego.rojas87@hotmail.com,+56933028108,Maipú,2024-11-16,53
16,Isidora Araya,14100059-4,isidora.araya49@gmail.com,+56924245056,Puente Alto,2024-08-15,21
126,Sofía López,16684244-1,sofia.lopez57@yahoo.com,+56949916108,Ñuñoa,2025-08-31,65
32,Camila Muñoz,10736322-K,camila.munoz31@gmail.com,+56951596580,Providencia,05-09-2024,61
205,Joaquín Valenzuela,13314266-5,joaquin.valenzuela75@hotmail.com,,Peñalolén,2025-11-03,22
131,Martín Araya,17634264-1,martin.araya5@hotmail.com,+56950305502,Las Condes,2025-08-15,60
265,Catalina Castillo,16506671-5,catalina.castillo92@outlook.cl,+56925467899,Ñuñoa,2024-09-28,18
111,Tomás Rojas,13148613-8,tomas.rojas84@gmail.com,+56947463204,Maipú,2024-06-08,36
237,Antonella Rojas,12755255-K,antonella.rojas79@yahoo.com,+56951664608,Ñuñoa,2025-08-30,43
162,Josefa Reyes,9138273-3,josefa.reyes9@yahoo.com,+56987059121,Puente Alto,2025-10-03,46
27,Diego Tapia,25564992-2,diego.tapia28@gmail.com,+56993320274,Estación Central,2025-03-15,53
186,Antonella Soto,10158201-9,antonella.soto59@hotmail.com,+56939610064,Estación Central,2025-01-17,77
76,Sofía Gutiérrez,24577901-1,x@x,+56974773101,Peñalolén,2024-09-01,72
2,Trinidad Flores,24225377-9,trinidad.flores15@yahoo.com,+56977962320,Peñalolén,2025-10-16,43
107,Martín Hernández,21102979-K,martin.hernandez15@gmail.com,+56965823356,Puente Alto,2024-06-06,33
228,Vicente López,10058266-K,vicente.lopez6@hotmail.com,+56994216826,Santiago,2024-10-27,29
202,Josefa Contreras,9.876.543-2,josefa.contreras12@yahoo.com,+56976108263,Providencia,2025-05-12,76
